County,BowAndArrow,Crossbow,Gun,Muzzleloader,Unknown,Total,Year
Chowan,0,0,6,0,0,6,2016
Chowan,0,0,12,0,,12,2017
Chowan,0,0,7,0,,7,2018
Chowan,0,0,8,0,,8,2019
Chowan,0,0,10,1,,11,2020
Chowan,0,0,13,0,,13,2021
Clay,0,0,28,1,0,29,2015
Clay,0,0,27,0,0,27,2016
Clay,0,0,31,1,,32,2017
Clay,0,1,39,0,,40,2018
Clay,1,0,37,0,,38,2019
Clay,0,0,34,0,,34,2020
Clay,0,0,32,0,,32,2021
Cleveland,0,0,0,0,0,0,2015
Cleveland,0,0,0,0,0,0,2016
Cleveland,0,0,0,0,,0,2017
Cleveland,0,0,0,0,,0,2018
Cleveland,0,0,0,0,,0,2019
Cleveland,2,1,2,0,,5,2020
Cleveland,0,0,1,0,,1,2021
Columbus,0,0,9,0,0,9,2015
Columbus,0,1,24,0,0,25,2016
Columbus,0,0,23,0,,23,2017
Columbus,0,0,15,0,,15,2018
Columbus,0,0,22,0,,22,2019
Columbus,0,0,27,0,,27,2020
Columbus,0,1,28,0,,29,2021
Craven,1,0,66,0,0,67,2015
Craven,0,0,79,0,0,79,2016
Craven,1,1,87,1,,90,2017
Craven,4,0,96,0,,100,2018
Craven,0,0,114,1,,115,2019
Craven,3,1,106,1,,111,2020
Craven,2,0,104,2,,108,2021
Cumberland,0,0,35,1,0,36,2015
Cumberland,0,0,22,0,0,22,2016
Cumberland,0,0,27,0,,27,2017
Cumberland,0,0,23,0,,23,2018
Cumberland,0,0,45,0,,45,2019
Cumberland,1,0,35,0,,36,2020
Cumberland,1,0,30,0,,31,2021
Currituck,2,0,38,0,0,40,2015
Currituck,2,0,29,0,0,31,2016
Currituck,1,0,29,0,,30,2017
Currituck,3,1,18,1,,23,2018
Currituck,1,0,23,1,,25,2019
Currituck,1,0,40,0,,41,2020
Currituck,3,0,49,0,,52,2021
Dare,1,0,1,0,0,2,2015
Dare,0,0,11,0,0,11,2016
Dare,1,0,17,0,,18,2017
Dare,0,0,9,0,,9,2018
Dare,1,0,24,0,,25,2019
Dare,0,0,14,0,,14,2020
Dare,0,0,21,0,,21,2021
Davidson,0,0,0,0,0,0,2015
Davidson,0,0,0,0,0,0,2016
Davidson,0,0,0,0,,0,2017
Davidson,0,0,0,0,,0,2018
Davidson,0,0,1,0,,1,2019
Davidson,0,0,0,0,,0,2020
Davidson,0,0,0,0,,0,2021
Davie,0,0,0,0,0,0,2015
Davie,0,0,9,0,0,9,2016
Davie,0,0,0,0,,0,2017
Davie,0,0,0,0,,0,2018
Davie,0,0,1,0,,1,2019
Davie,0,0,0,0,,0,2020
Davie,0,0,0,0,,0,2021
Duplin,0,0,15,0,0,15,2015
Duplin,0,0,0,0,0,0,2016
Duplin,0,0,19,0,,19,2017
Duplin,0,0,18,0,,18,2018
Duplin,0,1,28,0,,29,2019
Duplin,0,0,26,0,,26,2020
Duplin,1,0,29,0,,30,2021
Durham,0,0,1,0,0,1,2015
Durham,0,0,0,0,0,0,2016
Durham,0,0,0,0,,0,2017
Durham,0,0,0,0,,0,2018
Durham,0,0,0,0,,0,2019
Durham,0,0,0,0,,0,2020
Durham,0,0,0,0,,0,2021
Edgecombe,1,0,8,0,0,9,2015
Edgecombe,0,0,7,1,0,8,2016
Edgecombe,1,0,12,0,,13,2017
Edgecombe,0,0,11,0,,11,2018
Edgecombe,0,0,5,0,,5,2019
Edgecombe,0,0,11,0,,11,2020
Edgecombe,0,0,13,1,,14,2021
Forsyth,0,0,0,0,0,0,2015
Forsyth,0,0,0,0,0,0,2016
Forsyth,0,0,0,0,,0,2017
Forsyth,0,0,0,0,,0,2018
Forsyth,0,0,0,0,,0,2019
Forsyth,0,0,0,0,,0,2020
Forsyth,0,0,0,0,,0,2021
Franklin,0,0,3,0,0,3,2015
Franklin,0,0,2,0,0,2,2016
Franklin,0,0,0,0,,0,2017
Franklin,0,0,1,0,,1,2018
Franklin,0,0,0,0,,0,2019
Franklin,0,0,0,0,,0,2020
Franklin,0,0,0,0,,0,2021
Gaston,0,0,0,0,0,0,2015
Gaston,0,0,0,0,0,0,2016
Gaston,0,0,0,0,,0,2017
Gaston,0,0,0,0,,0,2018
Gaston,0,0,0,0,,0,2019
Gaston,0,0,0,0,,0,2020
Gaston,0,0,0,0,,0,2021
Gates,1,0,76,0,0,77,2015
Gates,3,1,71,0,0,75,2016
Gates,2,0,83,0,,85,2017
Gates,4,1,78,2,,85,2018
Gates,0,0,80,1,,81,2019
Gates,1,1,98,2,,102,2020
Gates,4,0,87,2,,93,2021
Graham,0,0,116,0,0,116,2015
Graham,1,0,57,0,0,58,2016
Graham,0,0,102,1,,103,2017
Graham,0,0,95,0,,95,2018
Graham,0,0,81,0,,81,2019
Graham,0,0,51,1,,52,2020
Graham,0,0,71,0,,71,2021
Granville,0,0,4,0,0,4,2015
Granville,0,0,3,0,0,3,2016
Granville,0,0,4,0,,4,2017
Granville,1,0,5,0,,6,2018
Granville,0,0,12,0,,12,2019
Granville,1,0,8,0,,9,2020
Granville,2,0,8,0,,10,2021
Greene,0,0,2,0,0,2,2015
Greene,0,0,2,0,0,2,2016
Greene,0,0,8,0,,8,2017
Greene,0,0,3,0,,3,2018
Greene,0,0,5,0,,5,2019
Greene,0,0,8,0,,8,2020
Greene,0,0,8,0,,8,2021
Guilford,0,0,0,0,0,0,2015
Guilford,0,0,0,0,0,0,2016
Guilford,0,0,0,0,,0,2017
Guilford,0,0,0,0,,0,2018
Guilford,0,0,0,0,,0,2019
Guilford,0,0,0,0,,0,2020
Guilford,0,0,0,0,,0,2021
Halifax,0,0,0,0,0,0,2015
Halifax,0,0,2,0,0,2,2016
Halifax,0,0,9,0,,9,2017
Halifax,0,0,4,0,,4,2018
Halifax,0,0,7,0,,7,2019
Halifax,0,0,9,0,,9,2020
Halifax,0,0,18,0,,18,2021
Harnett,0,0,1,0,0,1,2015
Harnett,0,0,0,0,0,0,2016
Harnett,0,0,0,0,,0,2017
Harnett,0,0,1,0,,1,2018
Harnett,0,0,0,0,,0,2019
Harnett,0,0,0,0,,0,2020
Harnett,0,0,0,0,,0,2021
Haywood,2,0,115,0,0,117,2015
Haywood,2,0,89,1,0,92,2016
Haywood,1,1,97,0,,99,2017
Haywood,5,1,134,2,,142,2018
Haywood,5,0,131,3,,139,2019
Haywood,0,1,120,1,,122,2020
Haywood,4,5,149,3,,161,2021
Henderson,2,1,25,0,0,28,2015
Henderson,4,0,21,1,0,26,2016
Henderson,7,1,25,0,,33,2017
Henderson,12,5,43,1,,61,2018
Henderson,5,2,39,0,,46,2019
Henderson,6,3,50,0,,59,2020
Henderson,6,2,47,1,,56,2021
Hertford,0,0,48,0,0,48,2015
Hertford,2,0,56,0,0,58,2016
Hertford,0,0,38,1,,39,2017
Hertford,0,0,45,0,,45,2018
Hertford,0,0,56,3,,59,2019
Hertford,0,0,54,1,,55,2020
Hertford,1,0,76,0,,77,2021
Hoke,0,0,0,0,0,0,2015
Hoke,0,0,0,0,0,0,2016
Hoke,0,0,0,0,,0,2017
Hoke,0,0,0,0,,0,2018
Hoke,0,0,0,0,,0,2019
Hoke,0,0,0,0,,0,2020
Hoke,0,0,2,0,,2,2021
Hyde,8,1,224,0,0,233,2015
Hyde,5,1,253,1,0,260,2016
Hyde,9,1,258,1,,269,2017
Hyde,4,0,258,0,,262,2018
Hyde,7,2,247,2,,258,2019
Hyde,11,2,281,2,,296,2020
Hyde,1,1,285,2,,289,2021
Iredell,0,0,0,0,0,0,2015
Iredell,0,0,0,0,0,0,2016
Iredell,0,0,0,0,,0,2017
Iredell,0,0,0,0,,0,2018
Iredell,0,0,0,0,,0,2019
Iredell,0,0,1,0,,1,2020
Iredell,0,0,0,0,,0,2021
Jackson,0,0,62,1,0,63,2015
Jackson,2,0,52,0,0,54,2016
Jackson,1,0,63,0,,64,2017
Jackson,5,1,73,1,,80,2018
Jackson,1,1,76,0,,78,2019
Jackson,4,0,45,2,,51,2020
Jackson,1,2,81,1,,85,2021
Johnston,0,0,2,0,0,2,2015
Johnston,1,0,0,0,0,1,2016
Johnston,0,1,0,0,,1,2017
Johnston,0,0,0,0,,0,2018
Johnston,0,0,2,0,,2,2019
Johnston,0,0,0,0,,0,2020
Johnston,0,0,0,0,,0,2021
Jones,0,0,116,0,0,116,2015
Jones,1,0,130,3,0,134,2016
Jones,1,1,156,0,,158,2017
Jones,0,0,158,1,,159,2018
Jones,1,1,177,2,,181,2019
Jones,5,0,190,0,,195,2020
Jones,0,0,202,2,,204,2021
Lee,0,0,0,0,0,0,2015
Lee,0,0,0,0,0,0,2016
Lee,0,0,0,0,,0,2017
Lee,0,0,0,0,,0,2018
Lee,0,0,1,0,,1,2019
Lee,0,0,1,0,,1,2020
Lee,0,0,0,0,,0,2021
Lenoir,1,0,24,1,0,26,2015
Lenoir,0,0,30,0,0,30,2016
Lenoir,1,0,37,1,,39,2017
Lenoir,1,0,39,0,,40,2018
Lenoir,0,0,44,0,,44,2019
Lenoir,0,0,41,1,,42,2020
Lenoir,0,0,62,0,,62,2021
Lincoln,0,0,0,0,0,0,2015
